timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1769249178226,5870,Portal:Science-1,200,OK,Thread Group 3: Custom 3-15,text,true,,339430,422,20,20,https://en.wikipedia.org/wiki/Portal:Science,508,0,0
1769249181791,2327,Main Page,200,OK,Thread Group 3: Custom 3-6,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,120,0,0
1769249181791,120,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-6,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,120,0,0
1769249181912,2206,Main Page-1,200,OK,Thread Group 3: Custom 3-6,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,267,0,0
1769249182088,2052,Main Page,200,OK,Thread Group 3: Custom 3-12,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,268,0,0
1769249182088,268,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-12,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,268,0,0
1769249182357,1783,Main Page-1,200,OK,Thread Group 3: Custom 3-12,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,368,0,0
1769249179874,4316,Main Page,200,OK,Thread Group 3: Custom 3-8,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,258,0,0
1769249179874,258,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-8,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,258,0,0
1769249180132,4058,Main Page-1,200,OK,Thread Group 3: Custom 3-8,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,610,0,0
1769249182684,1746,Main Page,200,OK,Thread Group 3: Custom 3-19,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,343,0,0
1769249182684,343,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-19,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,343,0,0
1769249183027,1403,Main Page-1,200,OK,Thread Group 3: Custom 3-19,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,208,0,0
1769249181833,2740,Portal:Science,200,OK,Thread Group 3: Custom 3-5,text,true,,340692,845,20,20,https://en.wikipedia.org/wiki/Portal:Science,101,0,0
1769249181833,101,Portal:Science-0,301,Moved Permanently,Thread Group 3: Custom 3-5,text,true,,1262,423,20,20,https://www.wikipedia.org/wiki/Portal:Science,101,0,0
1769249181934,2639,Portal:Science-1,200,OK,Thread Group 3: Custom 3-5,text,true,,339430,422,20,20,https://en.wikipedia.org/wiki/Portal:Science,245,0,0
1769249182777,2024,Main Page,200,OK,Thread Group 3: Custom 3-20,text,true,,234250,573,20,20,https://en.wikipedia.org/wiki/Main_Page,316,0,0
1769249182777,316,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-20,text,true,,1836,210,20,20,https://www.wikipedia.org/wiki/Main_Page,316,0,0
1769249183093,1708,Main Page-1,200,OK,Thread Group 3: Custom 3-20,text,true,,232414,363,20,20,https://en.wikipedia.org/wiki/Main_Page,219,0,0
1769249182818,2002,Main Page,200,OK,Thread Group 3: Custom 3-14,text,true,,234250,573,19,19,https://en.wikipedia.org/wiki/Main_Page,633,0,0
1769249182818,633,Main Page-0,301,Moved Permanently,Thread Group 3: Custom 3-14,text,true,,1836,210,19,19,https://www.wikipedia.org/wiki/Main_Page,633,0,0
1769249183451,1369,Main Page-1,200,OK,Thread Group 3: Custom 3-14,text,true,,232414,363,19,19,https://en.wikipedia.org/wiki/Main_Page,312,0,0
1769249182028,2809,Main Page,200,OK,Thread Group 3: Custom 3-2,text,true,,234250,573,18,18,https://en.wikipedia.org/wiki/Main_Page,168,0,0
